video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=3tXXv-3mRQM&pp=ygULc2VhdHRsZSwgd2E%3D,/@WorldAccordingToBriggs,World According To Briggs,"What is Up With Seattle, Washington?",146K,4 years,"What is Up With Seattle, Washington? Have you ever wanted to know about a city like Seattle, Washington without having to read ...",2026-01-30 07:00:52.211117
/shorts/NleN68xG5BA,/@MySeattleDiaries1,My Seattle Diaries ,Downtown Seattle Washington,11K,1 year,Downtown seattle life.,2026-01-30 07:00:52.212461
/shorts/AiTl5RDDxiM,/@primexexplore,PrimeXExplore,Seattle Washington Travel Guide: Best Things To Do In 2026,9.5K,7 months,Explore the Best Things To Do In Seattle Washington Travel Guide! From Space Needle to Pike Place Market to Bainbridge Island ...,2026-01-30 07:00:52.213868
/watch?v=tvOw9DwEWxI&pp=ygULc2VhdHRsZSwgd2E%3D,/@Relaxing.Scenes.Driving,Relaxing Scenes - Driving,Road Trip USA Part 12 - Driving Washington State to Seattle 8K Dolby Vision HDR,46K,9 months,This is episode 11 of a new series where I drive across the entire country and make stops through the United States of American ...,2026-01-30 07:00:52.215668
/watch?v=Xz0w9T-n9QE&pp=ygULc2VhdHRsZSwgd2E%3D,/@WindWalkTravelVideos,Wind Walk Travel Videos ʬ,[4K] DOWNTOWN SEATTLE WASHINGTON USA - Pike Street to Pine Street Walking Tour Vlog & Travel Guide,125K,1 year,"Walking from Pike Street to Pine Street in Downtown Seattle, Washington USA. Pike Street in Seattle is a vibrant and historic ...",2026-01-30 07:00:52.217006
/watch?v=OjSbzmftVpA&pp=ygULc2VhdHRsZSwgd2E%3D,/@rinahra,Rin Ahra,"THINGS TO KNOW BEFORE MOVING TO SEATTLE *brutally honest* | good, bad, and ugly | seattle fashion",128K,3 years,biggest takeaway is that there are literally no bugs in seattle tbh thanks for watching ✨ Restricted Parking Zone Information: ...,2026-01-30 07:00:52.219098
/watch?v=EiN0GTHPUq0&pp=ygULc2VhdHRsZSwgd2E%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,2025 Pros and Cons of Living In Seattle,26K,1 year,"In this video, I am going over some of the top pros and cons of living in the Seattle area. If you're thinking of moving to Seattle, ...",2026-01-30 07:00:52.220469
/watch?v=I_6zWor78qI&pp=ygULc2VhdHRsZSwgd2E%3D,/@JessAndNic,Jess & Nic,"FOUR DAYS IN SEATTLE, WA 🇺🇸 TRAVEL VLOG. Things to do, food to eat, and places to avoid!!",4.4K,9 months,Spend four days with us in Seattle Washington for Valentines Day weekend. We enjoyed our time in Seattle and had lots of great ...,2026-01-30 07:00:52.221764
/shorts/szMLZGVbACk,/@aitravelchannel,AI Travel ,"Top places to visit in Seattle, Washington",45K,1 year,Hope you liked this video about Seattle. If you want more videos like this check out @aitravelchannel #seattletrip #seattle.,2026-01-30 07:00:52.223143
/watch?v=_kbP_j0Zl9E&pp=ygULc2VhdHRsZSwgd2E%3D,/@MileageMikeTravels,Mileage Mike Travels,Seattle - Washington - 4K Downtown Drive,15K,1 year,"Afternoon drive around the city of Seattle, WA. Filmed: December 2024 Follow on Instagram: https://instagram.com/mileagemike ...",2026-01-30 07:00:52.224498
/watch?v=ZYy1G_t4yLE&pp=ygULc2VhdHRsZSwgd2E%3D,/@monicachurchrealtor,Monica Church Seattle Real Estate,Moving To Seattle in 2026? 8 Things You NEED To Know Before You Get Here...,73K,1 year,"Looking to buy or sell in and around Seattle? I can help! I am Monica Church, Seattle/Bellevue Real Estate Broker. Connect with ...",2026-01-30 07:00:52.227114
/watch?v=mA46BuWFRCE&pp=ygULc2VhdHRsZSwgd2E%3D,/@findingourforte,Finding Our Forte,"10 BEST PLACES to EAT in Downtown Seattle, Washington",26K,1 year,"In this video, we explore Seattle Washington and their 10 best places to eat —from hidden gems to iconic dining spots that every ...",2026-01-30 07:00:52.228991
/shorts/i8xNmfXX2cM,/@paranobatravels,Paranoba Travels,"Top 3 Places to visit in Seattle, Washington",77K,3 years,Top 3 things to do in Seattle Washington this summer! 1. Space Needle This observation Tower is considered an icon in the city of ...,2026-01-30 07:00:52.230356
/watch?v=p5nlS0Mwcc0&t=89s&pp=ygULc2VhdHRsZSwgd2E%3D,/@AnnaAndKarl,Anna & Karl Travel,TOP 23 Things To Do In Seattle 🇺🇸 Travel Guide,44K,1 year,"... 6:05 Washington Park Arboretum Nestled between the Puget Sound and the Cascade Mountains, Seattle Washington offers a ...",2026-01-30 07:00:52.233595
/shorts/Y5Cm2EPhiyA,/@SalaryTransparentStreet,Salary Transparent Street,"#SoftwareEngineer in Seattle, WA📍",841K,3 years,"SoftwareEngineer in Seattle, WA  #salarytransparentstreet #salarytransparency #paytransparency #howmuchdoyoumake ...",2026-01-30 07:01:00.616687
/watch?v=fTTWlPUzzJo&pp=ygULc2VhdHRsZSwgd2E%3D,/@Jaycation,Jaycation,Top FOODS to EAT in SEATTLE Washington | 2025 FOOD GUIDE,54K,4 months,"Dine around Seattle and try Jaycation's Top Foods to Eat in Seattle for 2025! From Dungeness Crab to Mac and Cheese to Coffee, ...",2026-01-30 07:01:00.617762
/shorts/r8xaRejcWpM,/@Keith_lee1225,The Familee ,Seattle Washington's Top 5 Teriyaki Chicken Restaurants | Keith Lee Reviews,60K,1 year,I heard Seattle is known for their Teriyaki chicken. I ordered a teriyaki plate from the top 5 restaurants and rated them all. I ordered ...,2026-01-30 07:01:00.618484
/watch?v=uxNTIqGrCTM&pp=ygULc2VhdHRsZSwgd2E%3D,/@juliahuynh,Julia Huynh,"weekend in seattle ☁️☕️ | what i eat, cafés & flea market",220K,1 year,"come along with me on our trip to seattle! i enjoyed so much coffee, yummy food, a rooftop bar!, and thrifting at the flea ...",2026-01-30 07:01:00.619225
